分类,九龙坡区,,九龙坡区,数量,,南岸区,数量,,沙坪坝区,分类,,渝中区,数量,,渝北区,分类,,酉阳县,数量,,永川区,,,石柱县,数量,,荣昌区,数量,,江北区,分类,,北碚区,数量,,北部新区,分类,,江津区,分类
自然,#NAME?,,冰,1,,HOUSE,1,,爱好,2,,爱好,1,,餐厅,2,,时光,1,,香茗,1,,民宿,1,,茶,1,,Bar,1,,电影,1,,标本,1,,书吧,1
中东风情,,,茶,1,,茶,2,,本土,1,,八音盒,1,,茶,6,,花,1,,,,,,,,,,,冰,1,,读书人,1,,花,1,,,
杂志,,,茶馆,1,,茶室,1,,茶,5,,冰,2,,茶馆,1,,,,,,,,,,,,,,博物馆,1,,温泉,1,,咖啡,1,,,
院子,,,蛋糕,1,,茶香,1,,茶馆,1,,餐吧,1,,茶器,1,,,,,,,,,,,,,,餐厅,1,,小住,2,,美味,1,,,
瑜伽,,,电影,1,,茶艺,1,,茶室,1,,餐厅,2,,茶香,1,,,,,,,,,,,,,,茶,8,,,,,温暖,1,,,
优雅,,,工作室,1,,定制,1,,复古,1,,茶,2,,窗外,1,,,,,,,,,,,,,,茶馆,1,,,,,,,,,
影院,,,火锅,2,,官邸,1,,工作室,1,,茶道,1,,刺身,1,,,,,,,,,,,,,,茶室,1,,,,,,,,,
英伦,,,酒馆,1,,花,3,,花饰,1,,茶社,1,,当代艺术,1,,,,,,,,,,,,,,禅茶,1,,,,,,,,,
幸福,,,空间,2,,花店,1,,吉他,2,,茶室,2,,电影,1,,,,,,,,,,,,,,搭配,2,,,,,,,,,
小厨,,,慢生活,1,,花园,2,,咖啡,3,,茶堂,1,,雕刻,1,,,,,,,,,,,,,,电音,1,,,,,,,,,
香茗,,,美好,1,,家具,1,,咖啡馆,2,,搭配,2,,定制,1,,,,,,,,,,,,,,电影,2,,,,,,,,,
舞台,,,书店,1,,酒店,1,,空间,1,,当代艺术,1,,复古,1,,,,,,,,,,,,,,法式,4,,,,,,,,,
温暖,,,体验,1,,美酒,1,,老记忆,1,,德国,1,,歌曲,1,,,,,,,,,,,,,,复古,1,,,,,,,,,
图书,,,甜点,1,,面包,1,,老屋,1,,电音,1,,工作室,1,,,,,,,,,,,,,,工作室,1,,,,,,,,,
停下来,,,甜蜜,1,,民间,1,,猫咪,1,,电影,2,,烘焙,1,,,,,,,,,,,,,,花,5,,,,,,,,,
甜品,,,小清新,1,,民宿,1,,美好,2,,定制,2,,花,1,,,,,,,,,,,,,,花艺,1,,,,,,,,,
甜蜜,,,艺展,1,,汽车,1,,面包,1,,发型,1,,花店,1,,,,,,,,,,,,,,混搭,1,,,,,,,,,
甜点,,,影院,1,,书吧,1,,时光,1,,高端,2,,花艺,1,,,,,,,,,,,,,,火锅,1,,,,,,,,,
体验,,,,,,书店,1,,手艺,1,,花,5,,家居,1,,,,,,,,,,,,,,家居,1,,,,,,,,,
书店,,,,,,体验,1,,太空舱,1,,花店,1,,家具,1,,,,,,,,,,,,,,家具,2,,,,,,,,,
手作,,,,,,小面,1,,温暖,1,,花园,2,,咖啡,2,,,,,,,,,,,,,,酒吧,2,,,,,,,,,
手艺,,,,,,制茶,1,,小店,1,,画廊,1,,咖啡店,1,,,,,,,,,,,,,,酒店,2,,,,,,,,,
手绘,,,,,,自然,1,,浴室,1,,绘画,1,,咖啡馆,2,,,,,,,,,,,,,,咖啡,3,,,,,,,,,
时光,,,,,,,,,杂货,2,,火锅,1,,空间,5,,,,,,,,,,,,,,咖啡店,1,,,,,,,,,
生活美学,,,,,,,,,植物,1,,家居,1,,量身,1,,,,,,,,,,,,,,咖啡馆,1,,,,,,,,,
生活馆,,,,,,,,,中医,1,,酒吧,2,,美好,2,,,,,,,,,,,,,,空间,1,,,,,,,,,
设计师,,,,,,,,,,,,酒店,3,,面包,1,,,,,,,,,,,,,,老木,1,,,,,,,,,
如画,,,,,,,,,,,,酒馆,2,,披萨,1,,,,,,,,,,,,,,灵魂,1,,,,,,,,,
清茗,,,,,,,,,,,,咖啡,6,,品茗,1,,,,,,,,,,,,,,猫咪,2,,,,,,,,,
青旅,,,,,,,,,,,,咖啡店,1,,普洱茶,1,,,,,,,,,,,,,,美好,2,,,,,,,,,
器物,,,,,,,,,,,,咖啡馆,1,,设计师,1,,,,,,,,,,,,,,美术馆,1,,,,,,,,,
内心,,,,,,,,,,,,空间,3,,生活馆,1,,,,,,,,,,,,,,面包,1,,,,,,,,,
民间,,,,,,,,,,,,旅舍,2,,时光,5,,,,,,,,,,,,,,奶酪,1,,,,,,,,,
民国,,,,,,,,,,,,美好,2,,收藏,1,,,,,,,,,,,,,,泥土,1,,,,,,,,,
美术馆,,,,,,,,,,,,美食,3,,手工,1,,,,,,,,,,,,,,牛排,1,,,,,,,,,
美食,,,,,,,,,,,,美术馆,1,,水上,1,,,,,,,,,,,,,,葡萄酒,1,,,,,,,,,
美好,,,,,,,,,,,,民国,3,,素食,1,,,,,,,,,,,,,,融合,1,,,,,,,,,
旅舍,,,,,,,,,,,,民间,1,,泰国菜,1,,,,,,,,,,,,,,设计师,1,,,,,,,,,
空间,,,,,,,,,,,,内心,2,,体验,2,,,,,,,,,,,,,,生活馆,1,,,,,,,,,
咖啡馆,,,,,,,,,,,,器物,1,,甜点,1,,,,,,,,,,,,,,生活美学,1,,,,,,,,,
咖啡店,,,,,,,,,,,,青旅,4,,涂鸦,1,,,,,,,,,,,,,,时光,7,,,,,,,,,
咖啡,,,,,,,,,,,,清茗,1,,纹身,1,,,,,,,,,,,,,,食堂,1,,,,,,,,,
酒馆,,,,,,,,,,,,如画,1,,西餐,1,,,,,,,,,,,,,,手工,1,,,,,,,,,
酒店,,,,,,,,,,,,设计师,1,,小面,1,,,,,,,,,,,,,,书店,2,,,,,,,,,
酒吧,,,,,,,,,,,,生活馆,1,,邂逅,1,,,,,,,,,,,,,,素食,1,,,,,,,,,
家居,,,,,,,,,,,,生活美学,1,,修心,1,,,,,,,,,,,,,,陶艺,1,,,,,,,,,
火锅,,,,,,,,,,,,时光,9,,优雅,1,,,,,,,,,,,,,,体验,4,,,,,,,,,
绘画,,,,,,,,,,,,手绘,1,,自然,3,,,,,,,,,,,,,,甜点,2,,,,,,,,,
画廊,,,,,,,,,,,,手艺,1,,,,,,,,,,,,,,,,,图书,1,,,,,,,,,
花园,,,,,,,,,,,,手作,1,,,,,,,,,,,,,,,,,玩具,1,,,,,,,,,
花店,,,,,,,,,,,,书店,2,,,,,,,,,,,,,,,,,午餐,1,,,,,,,,,
花,,,,,,,,,,,,体验,2,,,,,,,,,,,,,,,,,小店,1,,,,,,,,,
